x,tb,bb,cb,sb,db,ub,g,u,d,s,c,b, t                   
    1.0000000000E-03,    0.0000000000E+00,    5.9878107848E+02,    8.4888409512E+02,    9.7954394166E+02,    1.1804507373E+03,    1.1706176738E+03,    2.9693279694E+04,    1.2567505674E+03,    1.2159515144E+03,    9.7954394166E+02,    8.4888409512E+02,    5.9878107848E+02,   0.0000000000000000     
    1.0210564986E-03,    0.0000000000E+00,    5.8126580386E+02,    8.2485919801E+02,    9.5244542198E+02,    1.1486949514E+03,    1.1389558777E+03,    2.8811730235E+04,    1.2239954062E+03,    1.1839511274E+03,    9.5244542198E+02,    8.2485919801E+02,    5.8126580386E+02,   0.0000000000000000     
    1.0425563733E-03,    0.0000000000E+00,    5.6277696259E+02,    7.9955946019E+02,    9.2394908467E+02,    1.1153559510E+03,    1.1057122662E+03,    2.7880969022E+04,    1.1896361313E+03,    1.1503641970E+03,    9.2394908467E+02,    7.9955946019E+02,    5.6277696259E+02,   0.0000000000000000     
    1.0645089600E-03,    0.0000000000E+00,    5.4472617305E+02,    7.7484341173E+02,    8.9609889317E+02,    1.0827569048E+03,    1.0732083131E+03,    2.6972793318E+04,    1.1560289102E+03,    1.1175180890E+03,    8.9609889317E+02,    7.7484341173E+02,    5.4472617305E+02,   0.0000000000000000     
    1.0869237914E-03,    0.0000000000E+00,    5.2728538325E+02,    7.5093787052E+02,    8.6914459145E+02,    1.0511820834E+03,    1.0417280626E+03,    2.6095941581E+04,    1.1234622479E+03,    1.0856976327E+03,    8.6914459145E+02,    7.5093787052E+02,    5.2728538325E+02,   0.0000000000000000     
    1.1098106007E-03,    0.0000000000E+00,    5.1046225860E+02,    7.2785339319E+02,    8.4309810854E+02,    1.0206454907E+03,    1.0112854867E+03,    2.5250793911E+04,    1.0919505595E+03,    1.0549169063E+03,    8.4309810854E+02,    7.2785339319E+02,    5.1046225860E+02,   0.0000000000000000     
    1.1331793260E-03,    0.0000000000E+00,    4.9426135338E+02,    7.0559640789E+02,    8.1796681273E+02,    9.9115591964E+02,    9.8188935060E+02,    2.4437570004E+04,    1.0615029622E+03,    1.0251847654E+03,    8.1796681273E+02,    7.0559640789E+02,    4.9426135338E+02,   0.0000000000000000     
    1.1570401148E-03,    0.0000000000E+00,    4.7868370909E+02,    6.8416867944E+02,    7.9375291947E+02,    9.6271627368E+02,    9.5354253483E+02,    2.3656308502E+04,    1.0321225838E+03,    9.9650416206E+02,    7.9375291947E+02,    6.8416867944E+02,    4.7868370909E+02,   0.0000000000000000     
    1.1814033283E-03,    0.0000000000E+00,    4.6372641723E+02,    6.6356672711E+02,    7.7045284675E+02,    9.3532282828E+02,    9.2624129718E+02,    2.2906844539E+04,    1.0038058113E+03,    9.6887140506E+02,    7.7045284675E+02,    6.6356672711E+02,    4.6372641723E+02,   0.0000000000000000     
    1.2062795458E-03,    0.0000000000E+00,    4.4938214411E+02,    6.4378119164E+02,    7.4805651415E+02,    9.0896442779E+02,    8.9997447049E+02,    2.2188785311E+04,    9.7654147321E+02,    9.4227535397E+02,    7.4805651415E+02,    6.4378119164E+02,    4.4938214411E+02,   0.0000000000000000     
    1.2316795693E-03,    0.0000000000E+00,    4.3563861434E+02,    6.2479614737E+02,    7.2654658126E+02,    8.8362161257E+02,    8.7472259068E+02,    2.1501483552E+04,    9.5030995038E+02,    9.1669654427E+02,    7.2654658126E+02,    6.2479614737E+02,    4.3563861434E+02,   0.0000000000000000     
    1.2576144284E-03,    0.0000000000E+00,    4.2247805029E+02,    6.0658835547E+02,    7.0589762062E+02,    8.5926567141E+02,    8.5045694998E+02,    2.0844008725E+04,    9.2508221146E+02,    8.9210623711E+02,    7.0589762062E+02,    6.0658835547E+02,    4.2247805029E+02,   0.0000000000000000     
    1.2840953848E-03,    0.0000000000E+00,    4.0987656391E+02,    5.8912645378E+02,    6.8607522067E+02,    8.3585761328E+02,    8.2713856976E+02,    2.0215115791E+04,    9.0081876570E+02,    8.6846538821E+02,    6.8607522067E+02,    5.8912645378E+02,    4.0987656391E+02,   0.0000000000000000     
    1.3111339374E-03,    0.0000000000E+00,    3.9759599350E+02,    5.7209407810E+02,    6.6672967037E+02,    8.1299754342E+02,    8.0436789307E+02,    1.9602530136E+04,    8.7711279587E+02,    8.4537310650E+02,    6.6672967037E+02,    5.7209407810E+02,    3.9759599350E+02,   0.0000000000000000     
    1.3387418273E-03,    0.0000000000E+00,    3.8474199041E+02,    5.5430207306E+02,    6.4654567997E+02,    7.8918032214E+02,    7.8064111527E+02,    1.8960200311E+04,    8.5243256379E+02,    8.2132036519E+02,    6.4654567997E+02,    5.5430207306E+02,    3.8474199041E+02,   0.0000000000000000     
    1.3669310426E-03,    0.0000000000E+00,    3.7231879856E+02,    5.3708659480E+02,    6.2700174152E+02,    7.6609869982E+02,    7.5764943585E+02,    1.8339804563E+04,    8.2850115974E+02,    7.9800439570E+02,    6.2700174152E+02,    5.3708659480E+02,    3.7231879856E+02,   0.0000000000000000     
    1.3957138242E-03,    0.0000000000E+00,    3.6033262384E+02,    5.2045630937E+02,    6.0810772675E+02,    7.4376437365E+02,    7.3540451819E+02,    1.7741647810E+04,    8.0533069125E+02,    7.7543697851E+02,    6.0810772675E+02,    5.2045630937E+02,    3.6033262384E+02,   0.0000000000000000     
    1.4251026703E-03,    0.0000000000E+00,    3.4878757026E+02,    5.0441708219E+02,    5.8987040534E+02,    7.2218548494E+02,    7.1391447322E+02,    1.7165927247E+04,    7.8292964657E+02,    7.5362632942E+02,    5.8987040534E+02,    5.0441708219E+02,    3.4878757026E+02,   0.0000000000000000     
    1.4551103426E-03,    0.0000000000E+00,    3.3768536460E+02,    4.8897160922E+02,    5.7229303519E+02,    7.0136614758E+02,    6.9318338839E+02,    1.6612718281E+04,    7.6130241362E+02,    7.3257662653E+02,    5.7229303519E+02,    4.8897160922E+02,    3.3768536460E+02,   0.0000000000000000     
    1.4857498715E-03,    0.0000000000E+00,    3.2702505653E+02,    4.7411901543E+02,    5.5537491614E+02,    6.8130593454E+02,    6.7321081487E+02,    1.6081959233E+04,    7.4044875627E+02,    7.1228749512E+02,    5.5537491614E+02,    4.7411901543E+02,    3.2702505653E+02,   0.0000000000000000     
    1.5170345615E-03,    0.0000000000E+00,    3.1680269246E+02,    4.5985441790E+02,    5.3911090455E+02,    6.6199931916E+02,    6.5399120949E+02,    1.5573434685E+04,    7.2036324441E+02,    6.9275344717E+02,    5.3911090455E+02,    4.5985441790E+02,    3.1680269246E+02,   0.0000000000000000     
    1.5489779975E-03,    0.0000000000E+00,    3.0701096118E+02,    4.4616845107E+02,    5.2349088566E+02,    6.4343506786E+02,    6.3551332819E+02,    1.5086757403E+04,    7.0103463439E+02,    6.7396327213E+02,    5.2349088566E+02,    4.4616845107E+02,    3.0701096118E+02,   0.0000000000000000     
    1.5815940505E-03,    0.0000000000E+00,    2.9763880892E+02,    4.3304675109E+02,    5.0849920047E+02,    6.2559558043E+02,    6.1775956716E+02,    1.4621348692E+04,    6.8244519606E+02,    6.5589937510E+02,    5.0849920047E+02,    4.3304675109E+02,    2.9763880892E+02,   0.0000000000000000     
    1.6148968834E-03,    0.0000000000E+00,    2.8867102175E+02,    4.2046939622E+02,    4.9411402382E+02,    6.0845617406E+02,    6.0070524779E+02,    1.4176417088E+04,    6.6456998232E+02,    6.3853705860E+02,    4.9411402382E+02,    4.2046939622E+02,    2.8867102175E+02,   0.0000000000000000     
    1.6489009573E-03,    0.0000000000E+00,    2.8008777271E+02,    4.0841030005E+02,    4.8030668987E+02,    5.9198430682E+02,    5.8431784105E+02,    1.3750935252E+04,    6.4737603687E+02,    6.2184374352E+02,    4.8030668987E+02,    4.0841030005E+02,    2.8008777271E+02,   0.0000000000000000     
    1.6836210379E-03,    0.0000000000E+00,    2.7144101712E+02,    3.9627149101E+02,    4.6641420649E+02,    5.7541903592E+02,    5.6783724288E+02,    1.3321931094E+04,    6.3008811743E+02,    6.0505629744E+02,    4.6641420649E+02,    3.9627149101E+02,    2.7144101712E+02,   0.0000000000000000     
